ACCIDENT DATE,ACCIDENT TIME,LATITUDE,LONGITUDE
2019-08-05T00:00:00.000,16:30,40.676052,-73.790184
2019-08-27T00:00:00.000,16:02,40.65778,-73.951096
2019-08-15T00:00:00.000,17:57,40.718143,-73.993835
2019-08-30T00:00:00.000,21:53,40.840534,-73.86661
2019-08-06T00:00:00.000,9:45,40.74544,-73.9754
2019-08-29T00:00:00.000,12:28,40.726524,-73.94639
2019-08-31T00:00:00.000,2:16,40.667522,-73.78063
2019-08-11T00:00:00.000,22:23,40.85821,-73.91679
2019-08-02T00:00:00.000,16:30,40.666492,-73.76536
2019-08-21T00:00:00.000,17:30,40.83772,-73.92763
2019-08-20T00:00:00.000,14:25,40.68164,-73.98568
2019-08-17T00:00:00.000,14:02,40.644047,-73.95747
2019-08-20T00:00:00.000,10:30,40.698463,-73.960205
2019-08-04T00:00:00.000,23:09,40.716652,-73.8259
2019-08-12T00:00:00.000,11:20,40.67855,-73.81422
2019-08-09T00:00:00.000,18:30,40.72089,-73.99576
2019-08-07T00:00:00.000,13:25,40.681557,-73.966545
2019-08-27T00:00:00.000,17:06,40.865726,-73.887344
2019-08-16T00:00:00.000,17:20,40.523136,-74.21625
2019-08-25T00:00:00.000,11:58,40.836994,-73.92585
2019-08-06T00:00:00.000,16:50,40.616653,-73.97234
2019-08-15T00:00:00.000,16:11,40.756207,-73.99136
2019-08-21T00:00:00.000,19:15,40.757107,-73.997314
2019-08-29T00:00:00.000,7:55,40.735798,-73.976105
2019-11-26T00:00:00.000,0:00,40.625843,-73.95537
2019-08-28T00:00:00.000,17:00,40.70912,-73.9685
2019-08-21T00:00:00.000,22:21,40.65422,-73.92386
2019-08-20T00:00:00.000,11:00,40.773663,-73.90239
2019-08-29T00:00:00.000,16:00,40.74348,-73.921486
2019-08-12T00:00:00.000,13:00,40.648376,-73.96579
2019-08-26T00:00:00.000,21:44,40.839615,-73.90489
2019-08-17T00:00:00.000,12:00,40.74443,-73.76506
2019-08-04T00:00:00.000,19:30,40.6034,-73.97181
2019-08-12T00:00:00.000,13:30,40.71307,-73.77527
2019-08-26T00:00:00.000,15:00,40.704853,-73.791664
2019-08-02T00:00:00.000,14:50,40.750015,-73.991356
2019-08-20T00:00:00.000,23:30,40.72935,-73.910194
2019-08-07T00:00:00.000,22:38,40.80396,-73.94828
2019-08-24T00:00:00.000,2:37,40.64986,-74.01972
2019-08-11T00:00:00.000,7:55,40.684624,-73.93838
2019-08-23T00:00:00.000,15:15,40.534813,-74.194115
2019-08-28T00:00:00.000,14:40,40.81821,-73.96144
2019-08-23T00:00:00.000,15:37,40.578274,-73.95827
2019-08-27T00:00:00.000,9:27,40.83223,-73.875244
2019-08-14T00:00:00.000,12:00,40.67653,-73.75693
2019-08-03T00:00:00.000,12:45,40.68841,-73.84794
2019-08-13T00:00:00.000,0:05,40.696663,-73.98085
2019-08-29T00:00:00.000,10:00,40.769333,-73.841736
2019-08-17T00:00:00.000,14:00,40.756367,-73.96012
2019-08-03T00:00:00.000,21:00,40.782055,-73.95373
2019-08-14T00:00:00.000,11:30,40.724552,-73.72452
2019-08-22T00:00:00.000,10:28,40.593327,-73.964645
2019-08-17T00:00:00.000,8:53,40.615383,-74.01613
2019-08-07T00:00:00.000,15:33,40.58493,-73.95269
2019-08-23T00:00:00.000,6:31,40.74073,-73.981766
2019-08-23T00:00:00.000,0:00,40.809563,-73.92923
2019-08-28T00:00:00.000,8:00,40.661522,-74.00008
2019-08-21T00:00:00.000,18:50,40.651363,-73.96345
2019-08-10T00:00:00.000,7:50,40.666695,-73.767136
2019-08-29T00:00:00.000,8:17,40.676327,-73.86547
2019-08-04T00:00:00.000,1:45,40.85265,-73.84231
2019-08-11T00:00:00.000,14:45,40.683548,-73.87251
2019-08-07T00:00:00.000,7:00,40.672382,-73.78574
2019-08-28T00:00:00.000,18:36,40.700054,-73.92459
2019-08-05T00:00:00.000,12:00,40.75199,-73.931274
2019-08-27T00:00:00.000,14:38,40.669273,-73.922554
2019-08-18T00:00:00.000,12:00,40.570465,-74.10977
2019-08-07T00:00:00.000,9:08,40.804134,-73.93684
2019-08-14T00:00:00.000,19:00,40.749184,-73.758194
2019-08-28T00:00:00.000,10:00,40.753475,-73.99254
2019-08-04T00:00:00.000,16:15,40.702614,-73.96058
2019-08-17T00:00:00.000,15:50,40.664192,-73.87759
2019-08-11T00:00:00.000,16:00,40.76229,-73.75711
2019-08-03T00:00:00.000,9:45,40.757534,-73.86658
2019-08-21T00:00:00.000,16:45,40.640945,-73.94852
2019-08-19T00:00:00.000,14:38,40.766617,-73.864975
2019-08-30T00:00:00.000,21:21,40.68488,-73.92311
2019-08-05T00:00:00.000,0:00,40.61834,-74.03199
2019-08-16T00:00:00.000,21:45,40.613953,-73.93353
2019-08-24T00:00:00.000,3:20,40.72402,-73.763535
2019-08-21T00:00:00.000,0:00,40.742252,-74.00071
2019-08-12T00:00:00.000,8:50,40.720634,-73.94082
2019-08-06T00:00:00.000,15:50,40.667522,-73.78063
2019-08-21T00:00:00.000,7:00,40.839615,-73.88443
2019-08-18T00:00:00.000,17:02,40.615353,-73.89708
2019-08-26T00:00:00.000,14:35,40.682537,-73.80716
2019-08-05T00:00:00.000,19:00,40.76769,-73.9831
2019-08-23T00:00:00.000,12:59,40.734783,-73.998726
2019-08-20T00:00:00.000,8:41,40.71449,-74.01147
2019-08-29T00:00:00.000,15:44,40.83265,-73.90616
2019-08-20T00:00:00.000,17:10,40.726894,-73.898315
2019-08-07T00:00:00.000,18:20,40.72773,-73.90674
2019-08-28T00:00:00.000,11:55,40.641727,-73.907646
2019-08-07T00:00:00.000,19:00,40.66612,-73.82225
2019-08-17T00:00:00.000,10:45,40.854477,-73.854614
2019-08-07T00:00:00.000,1:40,40.73271,-73.89128
2019-08-15T00:00:00.000,12:40,40.516457,-74.196884
2019-08-09T00:00:00.000,6:00,40.53111,-74.157234
2019-08-30T00:00:00.000,14:30,40.770256,-73.91586
2019-08-22T00:00:00.000,9:12,40.62237,-74.0017
2019-08-14T00:00:00.000,22:00,40.719135,-73.78949
2019-08-12T00:00:00.000,17:28,40.843525,-73.89667
2019-08-26T00:00:00.000,18:16,40.76263,-73.789185
2019-08-29T00:00:00.000,9:30,40.746788,-73.827156
2019-08-08T00:00:00.000,20:00,40.681854,-73.98004
2019-08-31T00:00:00.000,8:20,40.79069,-73.840866
2019-08-08T00:00:00.000,6:57,40.76428,-73.97302
2019-08-19T00:00:00.000,6:00,40.685486,-73.82669
2019-08-08T00:00:00.000,20:15,40.754154,-73.9804
2019-08-19T00:00:00.000,13:40,40.705765,-73.896576
2019-08-09T00:00:00.000,6:07,40.7375,-73.93385
2019-08-26T00:00:00.000,7:45,40.60226,-74.003075
2019-08-08T00:00:00.000,17:17,40.697437,-73.95099
2019-08-06T00:00:00.000,6:42,40.84999,-73.93866
2019-08-28T00:00:00.000,23:20,40.740875,-73.89962
2019-08-29T00:00:00.000,20:00,40.70115,-73.94013
2019-08-12T00:00:00.000,1:55,40.64381,-73.983986
2019-08-12T00:00:00.000,7:17,40.811073,-73.90619
2019-08-10T00:00:00.000,5:40,40.655895,-74.00591
2019-08-29T00:00:00.000,19:10,40.845924,-73.78601
2019-08-27T00:00:00.000,20:01,40.696033,-73.98453
2019-08-27T00:00:00.000,20:39,40.848118,-73.93089
2019-08-16T00:00:00.000,12:30,40.701954,-73.958694
2019-08-22T00:00:00.000,10:50,40.841187,-73.93215
2019-08-25T00:00:00.000,13:00,40.615692,-73.99366
2019-08-23T00:00:00.000,13:10,,
2019-08-23T00:00:00.000,6:58,40.674885,-73.927765
2019-08-06T00:00:00.000,18:50,40.833233,-73.8282
2019-08-13T00:00:00.000,3:26,40.585026,-73.958275
2019-08-03T00:00:00.000,15:21,,
2019-08-25T00:00:00.000,2:11,40.691425,-73.82079
2019-08-13T00:00:00.000,17:15,40.605286,-73.75185
2019-08-05T00:00:00.000,19:50,40.72592,-73.72439
2019-08-30T00:00:00.000,8:41,40.743824,-73.979515
2019-08-23T00:00:00.000,10:33,40.75028,-73.98113
2019-08-20T00:00:00.000,15:40,40.8938,-73.85715
2019-08-23T00:00:00.000,8:00,40.8325,-73.9044
2019-08-02T00:00:00.000,18:52,40.817173,-73.94606
2019-08-12T00:00:00.000,10:00,40.745724,-73.97813
2019-08-03T00:00:00.000,5:12,40.642483,-73.97425
2019-08-11T00:00:00.000,21:00,40.843994,-73.89752
2019-08-27T00:00:00.000,22:20,40.656944,-73.88082
2019-08-11T00:00:00.000,15:45,40.742676,-73.839516
2019-08-31T00:00:00.000,5:15,40.704544,-73.72988
2019-08-27T00:00:00.000,22:06,40.864132,-73.89132
2019-08-14T00:00:00.000,16:00,40.59287,-73.99607
2019-08-25T00:00:00.000,11:00,40.733967,-73.87177
2019-08-27T00:00:00.000,14:52,40.68358,-73.97617
2019-08-22T00:00:00.000,17:05,40.66336,-73.982994
2019-08-08T00:00:00.000,19:00,40.647728,-73.97634
2019-08-21T00:00:00.000,8:30,40.77161,-73.99046
2019-08-27T00:00:00.000,15:30,40.63604,-73.74029
2019-08-28T00:00:00.000,11:28,40.702724,-73.95002
2019-08-16T00:00:00.000,11:30,40.906006,-73.85041
2019-08-06T00:00:00.000,17:35,40.856388,-73.90177
2019-08-22T00:00:00.000,19:55,40.827854,-73.95118
2019-08-27T00:00:00.000,12:40,40.65661,-73.93091
2019-08-21T00:00:00.000,10:00,40.657864,-73.89227
2019-08-16T00:00:00.000,1:30,40.764744,-73.974075
2019-08-08T00:00:00.000,7:40,40.83997,-73.85741
2019-08-02T00:00:00.000,12:30,40.68297,-73.82824
2019-08-12T00:00:00.000,17:55,40.6204,-73.960495
2019-08-16T00:00:00.000,15:00,40.66705,-73.77411
2019-08-19T00:00:00.000,18:03,40.88078,-73.88347
2019-08-10T00:00:00.000,17:45,40.609642,-73.89738
2019-08-17T00:00:00.000,1:30,40.68573,-73.80567
2019-08-20T00:00:00.000,16:45,40.681126,-73.96446
2019-08-28T00:00:00.000,16:18,40.648224,-73.960655
2019-08-19T00:00:00.000,10:19,40.697662,-73.98615
2019-08-26T00:00:00.000,19:35,40.68725,-73.87198
2019-08-07T00:00:00.000,9:50,40.75548,-73.74173
2019-08-04T00:00:00.000,3:42,40.81608,-73.917694
2019-08-16T00:00:00.000,9:04,40.6209,-74.01758
2019-08-06T00:00:00.000,6:25,40.680454,-73.87611
2019-08-17T00:00:00.000,2:45,40.814266,-73.912964
2019-08-10T00:00:00.000,17:00,40.769222,-73.92221
2019-08-27T00:00:00.000,14:00,40.58695,-74.16416
2019-08-21T00:00:00.000,13:56,40.81655,-73.91955
2019-08-04T00:00:00.000,0:55,40.67711,-73.78129
2019-08-23T00:00:00.000,17:20,40.766685,-73.892136
2019-08-10T00:00:00.000,23:00,40.758305,-73.85561
